,slide_name,Fibrosis Percentage,scar,group,study,expanded_analysis,total_nuclei,total_connexins,total_connexin_area,total_mean_plaque_size,total_connexin_count_per_cell,annotation_area,total_connexin_area_per_cell,total_connexins_per_annotation_area,total_nuclei_count_per_annotation_area,total_nuclei_area_per_annotation_area,subject,sample,section,location,spacing
42,1-Apr,80.83,,infarct,sbrt,,,,,,,,,,,,4,01,01,,
43,04-10A,31.31,border,infarct,sbrt,FALSE,509122,696709,9201353,13.206881208653828,1.3684519623980107,1205831,18.07298250713974,7.6307152494835515,0.42221671196046545,8.263113777967227,4,10A,10,,
44,04-10B,4.43,healthy,infarct,sbrt,FALSE,529882,815204,11081212,13.593176677248884,1.5384632805039613,1345086,20.912603183350257,8.238292570140496,0.39393912359507127,7.597035245330038,4,10B,10,,
45,04-10C,35.56,border,infarct,sbrt,FALSE,145519,95901,1225547.25,12.779295836331217,0.6590273435084079,241420,8.421905386925419,5.076411440642863,0.6027628199817745,7.832276737635656,4,10C,10,,
46,04-11A,41.9,center,infarct,sbrt,,,,,,,,,,,,4,11A,11,,
47,04-11B,1.78,healthy,infarct,sbrt,,,,,,,,,,,,4,11B,11,,
48,04-11C,35.79,border,infarct,sbrt,,,,,,,,,,,,4,11C,11,,
49,04-12B,,border,infarct,sbrt,FALSE,117004,264948,3537016.5,13.349851669006748,2.264435403917815,381952,30.22987675635021,9.260369103971179,0.30633168565683644,4.127810563,4,12B,12,,
50,04-14A,0.29,healthy,infarct,sbrt,,,,,,,,,,,,4,14A,14,,
51,04-14B,1.29,healthy,infarct,sbrt,,,,,,,,,,,,4,14B,14,,
52,04-14C,8.69,healthy,infarct,sbrt,,,,,,,,,,,,4,14C,14,,
53,04-15A,1.72,healthy,infarct,sbrt,,,,,,,,,,,,4,15A,15,,
54,04-15B,1.92,healthy,infarct,sbrt,,,,,,,,,,,,4,15B,15,,
55,04-15C,0.78,healthy,infarct,sbrt,,,,,,,,,,,,4,15C,15,,
56,04-20A,1.42,healthy,infarct,sbrt,FALSE,509790,842019,11242942.5,13.352362001332512,1.6516977579003118,1351809,22.054066380274232,8.316960828045975,0.3771168855955242,7.311735422681755,4,20A,20,,
57,04-20B,0.45,healthy,infarct,sbrt,,,,,,,,,,,,4,20B,20,,
58,04-20C,0.52,healthy,infarct,sbrt,,,,,,,,,,,,4,20C,20,,
59,04-2A,88.26,border,infarct,sbrt,,,,,,,,,,,,4,2A,2,,
60,04-2B,8.79,healthy,infarct,sbrt,,,,,,,,,,,,4,2B,2,,
61,04-3D,49.68,healthy,infarct,sbrt,,,,,,,,,,,,4,3D,3,,
62,04-4A,78.38,center,infarct,sbrt,,,,,,,,,,,,4,4A,4,,
63,04-4B,85.16,border,infarct,sbrt,FALSE,741874,1103712,15363609.25,13.91994401619263,1.4877351140490165,971973,20.709189498486264,15.806621428784544,0.7632660578020172,18.285606698951515,4,4B,4,,
64,04-4C,41.33,healthy,infarct,sbrt,,,,,,,,,,,,4,4C,4,,
65,04-4D,1.68,healthy,infarct,sbrt,,,,,,,,,,,,4,4D,4,,
66,04-5A,83.17,center,infarct,sbrt,,,,,,,,,,,,4,5A,5,,
67,04-5B,79.04,border,infarct,sbrt,FALSE,407515,338150,4458834.25,13.185965547833801,0.8297854066721471,745665,10.94152178447419,5.979674853989392,0.5465121736973038,12.440828991571282,4,5B,5,,
68,04-5C,40.02,healthy,infarct,sbrt,,,,,,,,,,,,4,5C,5,,
69,04-5D,48.89,healthy,infarct,sbrt,,,,,,,,,,,,4,5D,5,,
70,04-5E,76,border,infarct,sbrt,,,,,,,,,,,,4,5E,5,,
71,04-6A,83.2,center,infarct,sbrt,,,,,,,,,,,,4,6A,6,,
72,04-6B,84.28,border,infarct,sbrt,,,,,,,,,,,,4,6B,6,,
73,04-6C,53.98,healthy,infarct,sbrt,,,,,,,,,,,,4,6C,6,,
74,04-6D,8.49,healthy,infarct,sbrt,,,,,,,,,,,,4,6D,6,,
75,04-6E,8.58,healthy,infarct,sbrt,,,,,,,,,,,,4,6E,6,,
76,04-7A,54.85,border,infarct,sbrt,,,,,,,,,,,,4,7A,7,,
77,04-7B,5.99,healthy,infarct,sbrt,,,,,,,,,,,,4,7B,7,,
78,04-7C,2.27,healthy,infarct,sbrt,,,,,,,,,,,,4,7C,7,,
79,04-7D,32.2,healthy,infarct,sbrt,,,,,,,,,,,,4,7D,7,,
80,04-7E,49.12,border,infarct,sbrt,,,,,,,,,,,,4,7E,7,,
81,04-8A,40.95,border,infarct,sbrt,,,,,,,,,,,,4,8A,8,,
82,04-8B,64.69,border,infarct,sbrt,,,,,,,,,,,,4,8B,8,,
83,04-8C,1.16,healthy,infarct,sbrt,,,,,,,,,,,,4,8C,8,,
84,04-8D,2.28,healthy,infarct,sbrt,,,,,,,,,,,,4,8D,8,,
85,04-9A,48.31,border,infarct,sbrt,,,,,,,,,,,,4,9A,9,,
86,04-9C,35.59,border,infarct,sbrt,,,,,,,,,,,,4,9C,9,,
190,11-10A,22.9,border,infarct,sbrt,,,,,,,,,,,,11,10A,10,,
191,11-10B,21.23,border,infarct,sbrt,,,,,,,,,,,,11,10B,10,,
192,11-10C,17.1,border,infarct,sbrt,,,,,,,,,,,,11,10C,10,,
193,11-10D,2.07,healthy,infarct,sbrt,,,,,,,,,,,,11,10D,10,,
194,11-11A,46.16,border,infarct,sbrt,,,,,,,,,,,,11,11A,11,,
195,11-11B,39.69,border,infarct,sbrt,,,,,,,,,,,,11,11B,11,,
196,11-11C,9.54,healthy,infarct,sbrt,,,,,,,,,,,,11,11C,11,,
197,11-11D,3.82,healthy,infarct,sbrt,,,,,,,,,,,,11,11D,11,,
198,11-12A,11.47,border,infarct,sbrt,,,,,,,,,,,,11,12A,12,,
199,11-12B,25.66,border,infarct,sbrt,,,,,,,,,,,,11,12B,12,,
200,11-12C,3.14,healthy,infarct,sbrt,,,,,,,,,,,,11,12C,12,,
201,11-13A,12.06,border,infarct,sbrt,,,,,,,,,,,,11,13A,13,,
202,11-13B,2.54,healthy,infarct,sbrt,,,,,,,,,,,,11,13B,13,,
203,11-14A,6.24,healthy,infarct,sbrt,,,,,,,,,,,,11,14A,14,,
204,11-14B,3.18,healthy,infarct,sbrt,,,,,,,,,,,,11,14B,14,,
205,11-18A,2.35,healthy,infarct,sbrt,FALSE,280533,1039702,12819242.5,12.329727652731263,3.7061664759582653,1320235,45.69602328,9.709818706518158,0.2124871708445845,3.090112934439702,11,18A,18,,
206,11-18B,3.71,healthy,infarct,sbrt,,,,,,,,,,,,11,18B,18,,
207,11-1A,32.74,border,infarct,sbrt,,,,,,,,,,,,11,1A,1,,
208,11-1B,80.4,center,infarct,sbrt,,,,,,,,,,,,11,1B,1,,
209,11-22A,3.01,healthy,infarct,sbrt,,,,,,,,,,,,11,22A,22,,
210,11-22B,2.78,healthy,infarct,sbrt,,,,,,,,,,,,11,22B,22,,
211,11-2A,45.92,border,infarct,sbrt,FALSE,427779,580748,7433039,12.799078085503522,1.357588848447446,1008527,17.37588567928767,7.370193361208971,0.42416216918337335,7.590089061,11,2A,2,,
212,11-2B,80.46,center,infarct,sbrt,,,,,,,,,,,,11,2B,2,,
213,11-2C,34.06,border,infarct,sbrt,,,,,,,,,,,,11,2C,2,,
214,11-2D,35.17,border,infarct,sbrt,,,,,,,,,,,,11,2D,2,,
215,11-3A,52.39,border,infarct,sbrt,,,,,,,,,,,,11,3A,3,,
216,11-3B,37.94,border,infarct,sbrt,,,,,,,,,,,,11,3B,3,,
217,11-3C,33.12,border,infarct,sbrt,,,,,,,,,,,,11,3C,3,,
218,11-3D,41.64,border,infarct,sbrt,,,,,,,,,,,,11,3D,3,,
219,11-4A,71.01,center,infarct,sbrt,,,,,,,,,,,,11,4A,4,,
220,11-4B,63.94,center,infarct,sbrt,,,,,,,,,,,,11,4B,4,,
221,11-4C,59.48,border,infarct,sbrt,,,,,,,,,,,,11,4C,4,,
222,11-4D,16.08,border,infarct,sbrt,,,,,,,,,,,,11,4D,4,,
223,11-4E,37.64,border,infarct,sbrt,,,,,,,,,,,,11,4E,4,,
224,11-5A,71.15,center,infarct,sbrt,FALSE,553239,404739,5295359.75,13.083393866170544,0.7315807453921361,957978,9.571559036871948,5.527642336254068,0.577506999,13.274787625603093,11,5A,5,,
225,11-5B,57.88,border,infarct,sbrt,FALSE,540116,594067,7862298.25,13.234699537257582,1.0998878018795963,1120389,14.556684582571151,7.017471833443563,0.4820789922071709,9.72154939,11,5B,5,,
226,11-5C,18.36,border,infarct,sbrt,,,,,,,,,,,,11,5C,5,,
227,11-5D,45.12,border,infarct,sbrt,,,,,,,,,,,,11,5D,5,,
228,11-6A,37.21,border,infarct,sbrt,,,,,,,,,,,,11,6A,6,,
229,11-6B,17.06,border,infarct,sbrt,,,,,,,,,,,,11,6B,6,,
230,11-6C,3.85,healthy,infarct,sbrt,,,,,,,,,,,,11,6C,6,,
231,11-6D,22.47,border,infarct,sbrt,,,,,,,,,,,,11,6D,6,,
232,11-7A,46.37,center,infarct,sbrt,,,,,,,,,,,,11,7A,7,,
233,11-7B,13.87,border,infarct,sbrt,,,,,,,,,,,,11,7B,7,,
234,11-7C,2.16,healthy,infarct,sbrt,,,,,,,,,,,,11,7C,7,,
235,11-7D,22.64,border,infarct,sbrt,,,,,,,,,,,,11,7D,7,,
236,11-8A,24.25,border,infarct,sbrt,FALSE,298492,399432,5213763.75,13.052944556269903,1.3381665170255819,697924,17.467013353791728,7.470388967853233,0.42768553596093556,8.109672758065349,11,8A,8,,
237,11-8B,25.39,border,infarct,sbrt,FALSE,289221,329906,4232252,12.828660285050892,1.1406709747909038,619127,14.633280432610357,6.835838204439477,0.4671432517076464,8.080046581719097,11,8B,8,,
238,11-8C,2.3,healthy,infarct,sbrt,,,,,,,,,,,,11,8C,8,,
239,11-8D,8.49,border,infarct,sbrt,,,,,,,,,,,,11,8D,8,,
240,11-9A,30.89,border,infarct,sbrt,,,,,,,,,,,,11,9A,9,,
241,11-9B,43.2,border,infarct,sbrt,,,,,,,,,,,,11,9B,9,,
242,11-9C,3.11,healthy,infarct,sbrt,,,,,,,,,,,,11,9C,9,,
243,11-9D,22.53,border,infarct,sbrt,,,,,,,,,,,,11,9D,9,,
244,12-10A,29.09,border,infarct,sbrt,,,,,,,,,,,,12,10A,10,,
245,12-14A,10.86,healthy,infarct,sbrt,FALSE,268335,950556,12038482,12.664674148603554,3.5424227178713177,1218891,44.86362941845082,9.876586175466059,0.22014683839654242,3.4348967627129907,12,14A,14,,
246,12-14B,2.79,healthy,infarct,sbrt,,,,,,,,,,,,12,14B,14,,
247,12-1A,42.62,center,infarct,sbrt,,,,,,,,,,,,12,1A,1,,
248,12-2A,44.34,center,infarct,sbrt,FALSE,184170,95429,1384852.5,14.51186222217565,0.5181571374273769,279599,7.519424987783027,4.9529951823862035,0.6586933429661765,14.395371585735285,12,2A,2,,
249,12-2B,40.38,center,infarct,sbrt,FALSE,291957,309009,3957267.75,12.806318747997631,1.0584058611370852,600966,13.554282822470432,6.584844650113317,0.485812841,9.313372969519074,12,2B,2,,
250,12-2C,22.9,healthy,infarct,sbrt,,,,,,,,,,,,12,2C,2,,
251,12-3A,47.09,center,infarct,sbrt,,,,,,,,,,,,12,3A,3,,
252,12-3B,44.97,center,infarct,sbrt,,,,,,,,,,,,12,3B,3,,
253,12-3C,34.91,border,infarct,sbrt,,,,,,,,,,,,12,3C,3,,
254,12-3D,19.57,healthy,infarct,sbrt,,,,,,,,,,,,12,3D,3,,
255,12-4A,46.89,center,infarct,sbrt,,,,,,,,,,,,12,4A,4,,
256,12-4B,45.49,center,infarct,sbrt,,,,,,,,,,,,12,4B,4,,
257,12-4C,32.98,border,infarct,sbrt,,,,,,,,,,,,12,4C,4,,
258,12-4D,18.97,healthy,infarct,sbrt,,,,,,,,,,,,12,4D,4,,
259,12-5A,24.37,border,infarct,sbrt,,,,,,,,,,,,12,5A,5,,
260,12-5B,37.4,border,infarct,sbrt,FALSE,969288,1026584,13267584,12.924012063308993,1.059111430245706,1105740,13.687968900883948,11.998827934234088,0.8765966682945358,15.601283755674933,12,5B,5,,
261,12-5C,40.87,border,infarct,sbrt,FALSE,366415,362067,4865785.5,13.438909096935097,0.9881336735668572,728482,13.279438614685533,6.679348974991832,0.5029842878753353,9.728775042,12,5C,5,,
262,12-5D,22.17,healthy,infarct,sbrt,,,,,,,,,,,,12,5D,5,,
263,12-6A,45.99,center,infarct,sbrt,,,,,,,,,,,,12,6A,6,,
264,12-6B,37.49,border,infarct,sbrt,,,,,,,,,,,,12,6B,6,,
265,12-6C,16.91,healthy,infarct,sbrt,,,,,,,,,,,,12,6C,6,,
266,12-6D,33.22,border,infarct,sbrt,,,,,,,,,,,,12,6D,6,,
267,12-7A,39.49,border,infarct,sbrt,,,,,,,,,,,,12,7A,7,,
268,12-7B,43.34,center,infarct,sbrt,,,,,,,,,,,,12,7B,7,,
269,12-7C,32.89,border,infarct,sbrt,,,,,,,,,,,,12,7C,7,,
270,12-7D,4.18,healthy,infarct,sbrt,,,,,,,,,,,,12,7D,7,,
271,12-8A,28.92,border,infarct,sbrt,FALSE,759899,868318,10948207,12.608522453755421,1.1426755397756807,1628217,14.407450200618767,6.724046610494793,0.46670621913418175,7.983791011886008,12,8A,8,,
272,12-8B,38.01,border,infarct,sbrt,FALSE,500150,273471,3432657.75,12.552181949822833,0.546777967,773621,6.863256523043087,4.437131037032345,0.6465052008670913,13.45698022675186,12,8B,8,,
273,12-8C,25,border,infarct,sbrt,FALSE,537219,477595,5879800.25,12.311268438739937,0.8890136052522342,1014814,10.944885139952236,5.7939684020914175,0.5293768119083891,9.453904360799122,12,8C,8,,
274,12-8D,4.06,border,infarct,sbrt,,,,,,,,,,,,12,8D,8,,
275,12-9A,32.97,border,infarct,sbrt,,,,,,,,,,,,12,9A,9,,
276,12-9B,36.99,border,infarct,sbrt,,,,,,,,,,,,12,9B,9,,
277,12-9C,3.05,healthy,infarct,sbrt,,,,,,,,,,,,12,9C,9,,
278,13-1,2.88,healthy,infarct,sbrt,,,,,,,,,,,,13,1,1,,
279,13-11A,9.07,border,infarct,sbrt,,,,,,,,,,,,13,11A,11,,
280,13-11B,0.73,healthy,infarct,sbrt,,,,,,,,,,,,13,11B,11,,
281,13-12A,0.71,healthy,infarct,sbrt,,,,,,,,,,,,13,12A,12,,
282,13-12B,1.63,healthy,infarct,sbrt,,,,,,,,,,,,13,12B,12,,
283,13-14A,1.34,healthy,infarct,sbrt,FALSE,372092,1039002,13394303,12.891508389781732,2.792325553895273,1411094,35.99728830504284,9.492140849581956,0.26369044160063043,3.984376838,13,14A,14,,
284,13-14B,3.95,healthy,infarct,sbrt,,,,,,,,,,,,13,14B,14,,
285,13-2A,6.04,border,infarct,sbrt,FALSE,695585,1259137,17639156,14.008925160645743,1.810184233415039,1954722,25.35873545289217,9.023869378868197,0.3558485554467592,5.660918023125539,13,2A,2,,
286,13-2B,0.97,healthy,infarct,sbrt,,,,,,,,,,,,13,2B,2,,
287,13-3A,23.99,border,infarct,sbrt,,,,,,,,,,,,13,3A,3,,
288,13-3C,1.05,healthy,infarct,sbrt,,,,,,,,,,,,13,3C,3,,
289,13-4A,32.59,border,infarct,sbrt,,,,,,,,,,,,13,4A,4,,
290,13-4B,21.1,border,infarct,sbrt,,,,,,,,,,,,13,4B,4,,
291,13-4C,1.25,healthy,infarct,sbrt,,,,,,,,,,,,13,4C,4,,
292,13-5A,23.74,border,infarct,sbrt,FALSE,647957,356514,4410449,12.371040127456425,0.5502124369364016,1004471,6.806700135965812,4.390817654267769,0.6450728791572877,12.772384419261481,13,5A,5,,
293,13-5B,20.46,border,infarct,sbrt,FALSE,574895,583185,7634932,13.09178391076588,1.0144200245262178,1158080,13.280567755851068,6.592750069079856,0.4964207999447361,10.254010301533572,13,5B,5,,
294,13-5C,0.81,healthy,infarct,sbrt,,,,,,,,,,,,13,5C,5,,
295,13-6A,20.13,border,infarct,sbrt,,,,,,,,,,,,13,6A,6,,
296,13-6B,33.77,border,infarct,sbrt,,,,,,,,,,,,13,6B,6,,
297,13-6C,0.51,healthy,infarct,sbrt,,,,,,,,,,,,13,6C,6,,
298,13-7A,29.99,border,infarct,sbrt,,,,,,,,,,,,13,7A,7,,
299,13-7B,31.02,border,infarct,sbrt,,,,,,,,,,,,13,7B,7,,
300,13-7C,0.58,healthy,infarct,sbrt,,,,,,,,,,,,13,7C,7,,
301,13-8A,4.78,border,infarct,sbrt,FALSE,442623,346426,4378594.75,12.639336395074272,0.7826660611852525,789049,9.892379632,5.549205119,0.5609575577689092,10.835354014769678,13,8A,8,,
302,13-8B,36.64,border,infarct,sbrt,FALSE,431222,264490,3222421.5,12.183528677832811,0.6133499682298214,695712,7.472766927475871,4.631832568649096,0.6198283197645003,12.325066622395473,13,8B,8,,
303,13-8C,0.86,healthy,infarct,sbrt,,,,,,,,,,,,13,8C,8,,
304,13-9A,7.79,border,infarct,sbrt,,,,,,,,,,,,13,9A,9,,
305,13-9B,38.59,border,infarct,sbrt,,,,,,,,,,,,13,9B,9,,
306,13-9C,1.04,healthy,infarct,sbrt,,,,,,,,,,,,13,9C,9,,
307,14-10A,15.49,,infarct,sbrt,,,,,,,,,,,,14,10A,10,,
308,14-10B,35.66,,infarct,sbrt,,,,,,,,,,,,14,10B,10,,
309,14-10C,20.46,,infarct,sbrt,,,,,,,,,,,,14,10C,10,,
310,14-10D,0.95,,infarct,sbrt,,,,,,,,,,,,14,10D,10,,
311,14-11A,21.8,border,infarct,sbrt,,,,,,,,,,,,14,11A,11,,
312,14-11B,26.35,border,infarct,sbrt,,,,,,,,,,,,14,11B,11,,
313,14-11C,11.68,border,infarct,sbrt,,,,,,,,,,,,14,11C,11,,
314,14-11D,1.68,healthy,infarct,sbrt,,,,,,,,,,,,14,11D,11,,
315,14-12A,31.19,border,infarct,sbrt,,,,,,,,,,,,14,12A,12,,
316,14-12B,11.53,border,infarct,sbrt,,,,,,,,,,,,14,12B,12,,
317,14-12C,3.7,healthy,infarct,sbrt,,,,,,,,,,,,14,12C,12,,
318,14-12D,1.29,healthy,infarct,sbrt,,,,,,,,,,,,14,12D,12,,
319,14-13A,18.87,border,infarct,sbrt,,,,,,,,,,,,14,13A,13,,
320,14-13B,7.8,border,infarct,sbrt,,,,,,,,,,,,14,13B,13,,
321,14-13C,1.51,healthy,infarct,sbrt,,,,,,,,,,,,14,13C,13,,
322,14-14A,5.84,healthy,infarct,sbrt,,,,,,,,,,,,14,14A,14,,
323,14-14B,2.67,healthy,infarct,sbrt,,,,,,,,,,,,14,14B,14,,
324,14-14C,1.18,healthy,infarct,sbrt,,,,,,,,,,,,14,14C,14,,
325,14-15A,1.15,healthy,infarct,sbrt,,,,,,,,,,,,14,15A,15,,
326,14-15B,1.54,healthy,infarct,sbrt,,,,,,,,,,,,14,15B,15,,
327,14-15C,2.08,healthy,infarct,sbrt,,,,,,,,,,,,14,15C,15,,
328,14-16A,0.9,healthy,infarct,sbrt,,,,,,,,,,,,14,16A,16,,
329,14-16B,1.56,healthy,infarct,sbrt,,,,,,,,,,,,14,16B,16,,
330,14-19A,1.92,healthy,infarct,sbrt,,,,,,,,,,,,14,19A,19,,
331,14-19B,1.1,healthy,infarct,sbrt,,,,,,,,,,,,14,19B,19,,
332,14-1A,43.3,center,infarct,sbrt,,,,,,,,,,,,14,1A,1,,
333,14-1B,3.24,healthy,infarct,sbrt,,,,,,,,,,,,14,1B,1,,
334,14-22A,3.01,healthy,infarct,sbrt,,,,,,,,,,,,14,22A,22,,
335,14-22B,0.85,healthy,infarct,sbrt,,,,,,,,,,,,14,22B,22,,
336,14-2A,45.85,center,infarct,sbrt,FALSE,499012,178186,2487564.75,13.960494932261794,0.35707758530856976,677198,4.9849798201245665,3.6733196937970876,0.736877545,17.598215736018123,14,2A,2,,
337,14-2B,10.94,border,infarct,sbrt,FALSE,411228,383365,5066364.75,13.215511979445177,0.9322443997004095,794593,12.32008703201144,6.376050065882786,0.5175328753210763,11.610258333511622,14,2B,2,,
338,14-2C,1.94,healthy,infarct,sbrt,,,,,,,,,,,,14,2C,2,,
339,14-2D,3.41,healthy,infarct,sbrt,,,,,,,,,,,,14,2D,2,,
340,14-3A,37.8,border,infarct,sbrt,,,,,,,,,,,,14,3A,3,,
341,14-3B,63.42,center,infarct,sbrt,,,,,,,,,,,,14,3B,3,,
342,14-3C,15.91,border,infarct,sbrt,,,,,,,,,,,,14,3C,3,,
343,14-3D,3.61,healthy,infarct,sbrt,,,,,,,,,,,,14,3D,3,,
344,14-3E,2.45,healthy,infarct,sbrt,,,,,,,,,,,,14,3E,3,,
345,14-4A,23.04,border,infarct,sbrt,,,,,,,,,,,,14,4A,4,,
346,14-4B,58.72,center,infarct,sbrt,,,,,,,,,,,,14,4B,4,,
347,14-4C,25.5,border,infarct,sbrt,,,,,,,,,,,,14,4C,4,,
348,14-4D,3.97,healthy,infarct,sbrt,,,,,,,,,,,,14,4D,4,,
349,14-4E,1.91,healthy,infarct,sbrt,,,,,,,,,,,,14,4E,4,,
350,14-5A,16.41,border,infarct,sbrt,FALSE,475280,355898,4542901.75,12.764617249886204,0.7488175391348257,711035,9.558369277057734,6.389139423516423,0.6684340433312003,12.37291026461426,14,5A,5,,
351,14-5B,34.03,border,infarct,sbrt,FALSE,319071,149891,1993653.75,13.300690168188884,0.4697731852785117,468962,6.248307586712675,4.251205321539912,0.6803770881222786,13.771458561674507,14,5B,5,,
352,14-5C,25.08,border,infarct,sbrt,,,,,,,,,,,,14,5C,5,,
353,14-5D,1.07,healthy,infarct,sbrt,,,,,,,,,,,,14,5D,5,,
354,14-6A,17.15,border,infarct,sbrt,,,,,,,,,,,,14,6A,6,,
355,14-6B,39.54,border,infarct,sbrt,,,,,,,,,,,,14,6B,6,,
356,14-6C,31.92,border,infarct,sbrt,,,,,,,,,,,,14,6C,6,,
357,14-6D,0.93,healthy,infarct,sbrt,,,,,,,,,,,,14,6D,6,,
358,14-7A,29.58,border,infarct,sbrt,,,,,,,,,,,,14,7A,7,,
359,14-7B,25.63,border,infarct,sbrt,,,,,,,,,,,,14,7B,7,,
360,14-7C,21.58,border,infarct,sbrt,,,,,,,,,,,,14,7C,7,,
361,14-7D,0.73,healthy,infarct,sbrt,,,,,,,,,,,,14,7D,7,,
362,14-8A,23.31,border,infarct,sbrt,FALSE,393197,182276,2333774,12.803517742324827,0.4635742388675397,575473,5.935380992225271,4.055401382862446,0.683258815,12.072887433467773,14,8A,8,,
363,14-8B,24.28,border,infarct,sbrt,FALSE,372135,193303,2438240,12.613565231786367,0.5194432128125546,565438,6.552030849019845,4.312126174753024,0.6581358168357981,12.390866461044359,14,8B,8,,
364,14-8C,18.99,border,infarct,sbrt,,,,,,,,,,,,14,8C,8,,
365,14-8D,0.92,healthy,infarct,sbrt,,,,,,,,,,,,14,8D,8,,
366,14-9A,32.22,,infarct,sbrt,,,,,,,,,,,,14,9A,9,,
367,14-9B,29.39,,infarct,sbrt,,,,,,,,,,,,14,9B,9,,
368,14-9C,19.72,,infarct,sbrt,,,,,,,,,,,,14,9C,9,,
369,14-9D,1.84,healthy,infarct,sbrt,,,,,,,,,,,,14,9D,9,,
370,15-1A,37.65,border,infarct,sbrt,,,,,,,,,,,,15,1A,1,,
371,15-1B,15.17,border,infarct,sbrt,,,,,,,,,,,,15,1B,1,,
372,15-2A,45.94,center,infarct,sbrt,FALSE,657563,303379,3893068,12.832358205413032,0.461368721,960942,5.920448687045956,4.051303824788593,0.6842899987720382,17.09030721937432,15,2A,2,,
373,15-2B,42.5,border,infarct,sbrt,,,,,,,,,,,,15,2B,2,,
374,15-2C,8.39,healthy,infarct,sbrt,,,,,,,,,,,,15,2C,2,,
375,15-3A,25.93,border,infarct,sbrt,,,,,,,,,,,,15,3A,3,,
376,15-3B,63.43,center,infarct,sbrt,,,,,,,,,,,,15,3B,3,,
377,15-3C,26.75,border,infarct,sbrt,,,,,,,,,,,,15,3C,3,,
378,15-3D,4.55,healthy,infarct,sbrt,,,,,,,,,,,,15,3D,3,,
379,15-4A,27.68,border,infarct,sbrt,,,,,,,,,,,,15,4A,4,,
380,15-4B,66.98,center,infarct,sbrt,,,,,,,,,,,,15,4B,4,,
381,15-4C,48.76,center,infarct,sbrt,,,,,,,,,,,,15,4C,4,,
382,15-4D,4.7,healthy,infarct,sbrt,,,,,,,,,,,,15,4D,4,,
383,15-5A,20,border,infarct,sbrt,FALSE,428833,466693,6232124.5,13.353798964201307,1.088286116,895526,14.532754009136424,6.959177622983587,0.47886158525827277,10.75971663580957,15,5A,5,,
384,15-5B,74.84,center,infarct,sbrt,FALSE,535121,125287,1962036.75,15.660337864263651,0.23412835601667661,660408,3.6665291588257607,2.970946369517026,0.8102884883284273,21.964713101597802,15,5B,5,,
385,15-5C,71.21,center,infarct,sbrt,,,,,,,,,,,,15,5C,5,,
386,15-5D,48.21,border,infarct,sbrt,,,,,,,,,,,,15,5D,5,,
